date,open,high,low,close,volume
12-12-1980,0.0986,0.0991,0.0986,0.0986,1609186
15-12-1980,0.0939,0.0939,0.0935,0.0935,603256
16-12-1980,0.0871,0.0871,0.0866,0.0866,362690
17-12-1980,0.0887,0.0892,0.0887,0.0887,296358
18-12-1980,0.0914,0.0918,0.0914,0.0914,252061
19-12-1980,0.0969,0.0974,0.0969,0.0969,166828
22-12-1980,0.1016,0.102,0.1016,0.1016,128094
23-12-1980,0.1059,0.1064,0.1059,0.1059,161079
24-12-1980,0.1115,0.1119,0.1115,0.1115,164676
26-12-1980,0.1218,0.1222,0.1218,0.1218,190654
29-12-1980,0.1235,0.124,0.1235,0.1235,319624
30-12-1980,0.121,0.121,0.1205,0.1205,236312
31-12-1980,0.1175,0.1175,0.117,0.117,122608
02-01-1981,0.1183,0.1191,0.1183,0.1183,74283
05-01-1981,0.1162,0.1162,0.1158,0.1158,122562
06-01-1981,0.111,0.111,0.1106,0.1106,154840
07-01-1981,0.1064,0.1064,0.1059,0.1059,191050
08-01-1981,0.1042,0.1042,0.1037,0.1037,136577
09-01-1981,0.1093,0.1098,0.1093,0.1093,73737
12-01-1981,0.1093,0.1093,0.1085,0.1085,81298
13-01-1981,0.105,0.105,0.1046,0.1046,79026
14-01-1981,0.105,0.1055,0.105,0.105,49005
15-01-1981,0.1072,0.108,0.1072,0.1072,48259
16-01-1981,0.1068,0.1068,0.1063,0.1063,45930
19-01-1981,0.1128,0.1132,0.1128,0.1128,142614
20-01-1981,0.1098,0.1098,0.1093,0.1093,103155
21-01-1981,0.1115,0.1123,0.1115,0.1115,54559
22-01-1981,0.1128,0.1136,0.1128,0.1128,121944
23-01-1981,0.1128,0.1131,0.1123,0.1123,38483
26-01-1981,0.111,0.111,0.1106,0.1106,84486
27-01-1981,0.1106,0.1106,0.1098,0.1098,81293
28-01-1981,0.1068,0.1068,0.1063,0.1063,96546
29-01-1981,0.1029,0.1029,0.1025,0.1025,150600
30-01-1981,0.0977,0.0977,0.0969,0.0969,158452
02-02-1981,0.0918,0.0918,0.0914,0.0914,81560
03-02-1981,0.0947,0.0952,0.0947,0.0947,65668
04-02-1981,0.0982,0.0986,0.0982,0.0982,95587
05-02-1981,0.0982,0.099,0.0982,0.0982,27201
06-02-1981,0.0986,0.0991,0.0986,0.0986,47571
09-02-1981,0.0943,0.0943,0.0935,0.0935,57468
10-02-1981,0.0935,0.0939,0.0935,0.0935,62922
11-02-1981,0.0909,0.0909,0.0904,0.0904,47466
12-02-1981,0.0901,0.0901,0.0896,0.0896,49949
13-02-1981,0.0883,0.0883,0.0874,0.0874,38247
17-02-1981,0.0896,0.0901,0.0896,0.0896,42110
18-02-1981,0.0935,0.0943,0.0935,0.0935,65995
19-02-1981,0.0884,0.0884,0.0879,0.0879,76528
20-02-1981,0.0836,0.0836,0.0832,0.0832,83584
23-02-1981,0.0844,0.0849,0.0844,0.0844,48382
24-02-1981,0.0822,0.0822,0.0814,0.0814,58209
25-02-1981,0.0866,0.0871,0.0866,0.0866,66852
26-02-1981,0.0879,0.0884,0.0879,0.0879,37188
27-02-1981,0.0909,0.0917,0.0909,0.0909,50637
02-03-1981,0.0914,0.0918,0.0914,0.0914,40357
03-03-1981,0.0904,0.0904,0.09,0.09,55444
04-03-1981,0.0896,0.0896,0.0892,0.0892,47020
05-03-1981,0.0892,0.0892,0.0887,0.0887,18431
06-03-1981,0.0887,0.0887,0.0879,0.0879,39801
09-03-1981,0.0815,0.0815,0.0811,0.0811,52580
10-03-1981,0.0776,0.0776,0.0771,0.0771,97297
11-03-1981,0.075,0.075,0.0741,0.0741,102358
12-03-1981,0.0771,0.0776,0.0771,0.0771,203117
13-03-1981,0.0768,0.0768,0.0763,0.0763,793428
16-03-1981,0.0793,0.0802,0.0793,0.0793,127710
17-03-1981,0.0832,0.084,0.0832,0.0832,150037
18-03-1981,0.0884,0.0892,0.0884,0.0884,126758
19-03-1981,0.0879,0.0879,0.0874,0.0874,129641
20-03-1981,0.0884,0.0892,0.0884,0.0884,50119
23-03-1981,0.0917,0.0925,0.0917,0.0917,75495
24-03-1981,0.0918,0.0918,0.0914,0.0914,96627
25-03-1981,0.0904,0.0904,0.0896,0.0896,24206
26-03-1981,0.0884,0.0884,0.0879,0.0879,42106
27-03-1981,0.0853,0.0853,0.0849,0.0849,42027
30-03-1981,0.0849,0.0857,0.0849,0.0849,33960
31-03-1981,0.0849,0.0849,0.0841,0.0841,54888
01-04-1981,0.0836,0.0836,0.0832,0.0832,116849
02-04-1981,0.0904,0.0909,0.0904,0.0904,107681
03-04-1981,0.0909,0.0914,0.0909,0.0909,56553
06-04-1981,0.0896,0.0896,0.0892,0.0892,78213
07-04-1981,0.0888,0.0888,0.0884,0.0884,36667
08-04-1981,0.0926,0.0935,0.0926,0.0926,75310
09-04-1981,0.0943,0.0947,0.0943,0.0943,42850
10-04-1981,0.0956,0.0961,0.0956,0.0956,114812
13-04-1981,0.0956,0.0961,0.0956,0.0956,55101
14-04-1981,0.0956,0.0961,0.0956,0.0956,22824
15-04-1981,0.0914,0.0914,0.0909,0.0909,116795
16-04-1981,0.0862,0.0862,0.0857,0.0857,81860
20-04-1981,0.0884,0.0888,0.0884,0.0884,121300
21-04-1981,0.0943,0.0947,0.0943,0.0943,97832
22-04-1981,0.0977,0.0982,0.0977,0.0977,65133
23-04-1981,0.1003,0.1007,0.1003,0.1003,198910
24-04-1981,0.1003,0.1003,0.0995,0.0995,120245
